Protein Name,SwissProt Acc. No.,M1,M2,M3,M4,M5,M6,M7,M8,M9,UM1,UM2,UM3,UM4,UM5,UM6,UM7,UM8,UM9,N,Log2 Fold Change,Fold Change,P Value
Iron-responsive element-binding protein 2,P48200,,,,-1.095,-0.432,-0.883,1.242,0.312,1.295,,,,-0.432,-0.498,0.937,0.259,0.763,-6.274,12,-0.32,-1.2,0.44297
"Iron-sulfur cluster assembly 2 homolog, mitochondrial",Q86U28,0.262,0.501,0.089,-0.029,0.793,0.143,0.764,0.127,0.101,0.820,0.289,0.608,-0.337,1.166,0.833,0.406,0.473,0.698,18,0.27,1.2,0.17913
"Iron-sulfur cluster co-chaperone protein HscB, mitochondrial",Q8IWL3,,,,-0.447,-0.274,-0.845,0.182,0.009,-0.349,,,,0.230,0.310,0.363,-0.085,0.009,-0.430,12,0.34,1.3,0.09375
Isoamyl acetate-hydrolyzing esterase 1 homolog,Q2TAA2,0.291,0.543,-0.161,0.327,0.339,0.393,-1.495,0.021,-0.245,-0.028,0.410,-2.073,0.725,-3.447,0.645,0.911,-0.445,0.234,18,0.00,1.0,0.52935
"Isobutyryl-CoA dehydrogenase, mitochondrial",Q9UKU7,0.457,0.057,-1.405,0.144,0.290,0.011,1.353,-1.530,0.635,0.323,-0.101,1.041,0.131,-0.029,-0.175,0.025,0.529,-0.641,18,-0.04,-1.0,0.73162
Isochorismatase domain-containing protein 1,Q96CN7,-1.059,-0.156,-0.144,-0.151,-0.960,-0.283,-0.767,-0.756,-0.808,-0.436,-0.078,-1.872,0.567,-2.582,-0.337,-0.064,-1.047,-0.303,18,0.09,1.1,0.74045
"Isochorismatase domain-containing protein 2, mitochondrial",Q96AB3,0.626,0.414,-0.238,0.108,-0.184,0.652,1.206,-0.508,0.980,1.078,-0.570,1.251,-0.357,1.397,0.945,-0.454,1.232,0.104,18,0.26,1.2,0.61073
"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",P50213,0.545,0.147,-1.022,-0.981,0.518,-0.491,1.354,-1.861,0.051,0.054,-0.278,1.104,-0.039,0.399,1.143,-0.161,1.062,0.105,18,0.39,1.3,0.15438
"Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial",O43837,0.908,-0.089,0.523,1.036,0.784,-1.064,1.617,-1.374,0.700,0.323,-0.129,1.665,0.412,1.063,0.970,0.527,0.673,1.058,18,0.22,1.2,0.31138
"Isocitrate dehydrogenase [NAD] subunit gamma, mitochondrial",P51553,,,,0.456,-0.567,-0.289,1.312,-2.036,1.126,,,,-0.954,0.335,0.880,0.222,-0.349,-0.416,12,-0.30,-1.2,0.93604
Isocitrate dehydrogenase [NADP] cytoplasmic,O75874,-0.546,0.518,-0.160,-0.726,-0.342,0.003,-1.093,-0.268,0.078,0.305,-0.240,-1.090,0.190,-0.368,0.031,0.224,-1.307,1.153,18,0.26,1.2,0.59665
"Isocitrate dehydrogenase [NADP], mitochondrial",P48735,0.873,0.355,-2.993,-0.467,0.716,0.410,0.948,0.391,-0.752,1.245,-1.079,1.989,0.477,-0.413,-0.333,-0.886,0.298,0.391,18,0.25,1.2,0.64990
"Isoleucine--tRNA ligase, cytoplasmic",P41252,-0.080,0.160,0.544,0.209,-0.295,-0.256,-1.511,0.163,-0.116,0.664,0.106,-2.368,0.184,-1.186,0.369,0.495,0.163,-0.169,18,0.07,1.0,0.87082
"Isoleucine--tRNA ligase, mitochondrial",Q9NSE4,-0.093,-1.315,-0.292,0.392,0.086,0.074,1.601,-1.907,0.273,-0.266,0.079,1.608,-1.575,0.339,0.405,-0.525,-0.139,0.418,18,0.10,1.1,0.70590
"Isoleucyl-tRNA synthetase, cytoplasmic",P41252,-0.080,0.160,0.544,0.209,-0.295,-0.256,-1.511,0.163,-0.116,0.664,0.106,-2.368,0.184,-1.186,0.369,0.495,0.163,-0.169,18,0.07,1.0,0.87082
"Isoleucyl-tRNA synthetase, mitochondrial",Q9NSE4,-0.093,-1.315,-0.292,0.392,0.086,0.074,1.601,-1.907,0.273,-0.266,0.079,1.608,-1.575,0.339,0.405,-0.525,-0.139,0.418,18,0.10,1.1,0.70590
Isopentenyl-diphosphate Delta-isomerase 1,Q13907,0.146,0.146,0.305,0.133,0.067,0.093,,,,-0.213,-0.013,0.519,0.225,0.040,0.332,,,,12,0.02,1.0,0.99951
"Isovaleryl-CoA dehydrogenase, mitochondrial",P26440,0.520,0.002,-3.015,-0.029,-0.840,-1.053,0.945,-1.022,0.200,0.706,-0.477,0.839,0.037,0.516,-0.056,-0.410,-0.569,-0.569,18,0.25,1.2,0.28726
IST1 homolog,P53990,-0.718,0.610,0.291,0.033,-0.165,0.233,-1.108,0.299,-0.192,-0.707,0.278,-1.663,0.339,-0.391,-1.958,-0.338,-0.325,-0.245,18,-0.39,-1.3,0.15317
Junctional adhesion molecule A,Q9Y624,,,,-0.227,0.505,0.571,0.199,0.094,-0.279,,,,-0.240,-0.438,0.093,-0.054,0.172,0.133,12,-0.22,-1.2,0.28248
Kanadaptin,Q9BWU0,,,,-0.292,-0.385,-0.519,,,,,,,-0.173,-0.026,-0.080,,,,6,0.30,1.2,0.01782
KAT8 regulatory NSL complex subunit 1,Q7Z3B3,,,,,,,0.160,0.094,0.957,,,,,,,0.478,0.744,0.864,6,0.24,1.2,0.38521
Kelch-like protein 14,Q9P2G3,-0.173,-0.053,-0.358,,,,,,,-0.265,0.132,-0.053,,,,,,,6,0.14,1.1,0.41230
Kelch-like protein 36,Q8N4N3,,,,-0.133,-0.160,-0.452,,,,,,,-0.106,-0.173,-0.146,,,,6,0.10,1.1,0.36279
"Keratin, type I cytoskeletal 10",P13645,,,,-1.522,0.472,-1.918,-1.589,-0.991,-2.215,,,,-1.030,-2.249,-0.683,-1.761,-0.034,-0.339,12,0.15,1.1,0.60641
"Keratin, type I cytoskeletal 9",P35527,,,,2.060,-1.221,0.996,,,,,,,0.598,-0.957,-0.186,,,,6,-1.18,-2.3,0.49792
"Keratin, type II cytoskeletal 1",P04264,-0.257,-0.550,-0.948,0.903,-0.040,0.080,-0.751,-0.819,-0.671,0.114,0.354,-0.204,0.185,-1.914,-0.706,-0.963,0.803,0.909,18,0.28,1.2,0.62042
"Keratin, type II cytoskeletal 2 epidermal",P35908,,,,-0.430,-0.324,-0.218,0.032,-0.154,0.245,,,,-0.338,-0.153,0.021,-1.657,1.387,-1.295,12,0.13,1.1,0.67052
Ketosamine-3-kinase,Q9HA64,-0.650,0.055,-0.118,-0.446,-0.896,-0.353,-0.513,0.258,-1.600,-0.556,0.014,-1.126,0.511,-0.326,-0.870,-0.007,-0.432,-0.087,18,0.14,1.1,0.54347
"KH domain-containing, RNA-binding, signal transduction-associated protein 1",Q07666,0.195,-1.331,-0.548,0.198,-0.957,-1.383,-0.088,0.005,-0.286,0.621,-0.230,0.648,0.410,0.823,0.264,-0.791,0.975,-0.460,18,0.71,1.6,0.02554
Kinectin,Q86UP2,0.504,0.185,-1.421,-0.214,-0.307,-0.319,-0.025,-0.396,-0.370,0.025,-0.571,-0.466,-0.319,-0.359,-0.227,-0.331,0.188,-0.810,18,-0.11,-1.1,0.78336
Kinesin light chain 1,Q07866,-0.246,-0.192,-0.046,-0.498,-0.153,0.233,0.027,-0.106,-0.094,-0.312,-0.127,-0.286,0.046,-0.632,-0.205,0.000,-0.743,-0.292,18,-0.16,-1.1,0.15505
Kinesin-1 heavy chain,P33176,-0.250,0.122,0.361,-0.259,-0.564,-0.060,-0.222,0.004,-0.765,-1.127,-0.237,-0.741,-0.100,-0.391,-0.498,0.244,-0.539,-0.593,18,-0.25,-1.2,0.15159
Kinesin-like protein KIF13B,Q9NQT8,0.206,-0.033,0.219,-0.472,-0.273,0.777,,,,0.339,0.352,0.127,0.379,0.512,0.286,,,,12,0.21,1.2,0.19056
Kinesin-like protein KIF21B,O75037,,,,0.239,0.438,0.000,,,,,,,-0.053,0.372,0.279,,,,6,-0.03,-1.0,0.89045
Kinesin-like protein KIF2A,O00139,0.342,0.381,0.395,0.590,0.112,0.643,0.397,0.317,0.464,0.409,-0.376,0.235,0.456,-0.432,0.018,0.065,0.051,0.091,18,-0.33,-1.3,0.00778
Kinetochore-associated protein DSN1 homolog,Q9H410,-0.010,0.030,-0.462,0.566,-0.311,-0.670,-0.077,0.242,-0.104,-0.170,-0.342,0.414,0.154,-0.485,0.206,-0.541,0.615,-0.675,18,0.02,1.0,0.98778
Kinetochore-associated protein NSL1 homolog,Q96IY1,,,,0.495,0.628,-1.486,0.223,0.050,0.062,,,,0.456,0.096,0.096,0.116,-0.017,-0.149,12,-0.02,-1.0,0.75254
KRR1 small subunit processome component homolog,Q13601,0.589,0.204,0.722,0.412,-0.146,0.080,0.221,-0.430,0.660,0.177,-1.404,1.439,0.558,0.797,0.027,-0.457,1.205,0.528,18,0.22,1.2,0.84664
Krueppel-like factor 16,Q9BXK1,-0.253,-0.584,-0.092,,,,,,,-0.306,-0.333,-0.279,,,,,,,6,-0.01,-1.0,0.97944
Kynureninase,Q16719,0.005,0.630,-0.141,0.294,0.400,-0.343,-1.325,-0.460,0.471,-1.402,-0.433,-0.646,0.308,-2.474,-0.171,-0.737,0.391,-0.327,18,-0.46,-1.4,0.13840
Kynurenine 3-monooxygenase,O15229,,,,,,,0.438,-0.504,0.505,,,,,,,-0.997,-0.398,-1.062,6,-1.00,-2.0,0.06784
Kynurenine--oxoglutarate transaminase 1,Q16773,,,,,,,-0.704,0.252,-0.039,,,,,,,0.346,-0.092,-0.811,6,0.00,1.0,0.96234
Kynurenine--oxoglutarate transaminase 3,Q6YP21,0.417,0.019,0.019,-0.085,0.645,0.539,1.369,0.121,0.000,-0.421,0.364,0.496,-0.803,0.419,0.180,-0.411,0.200,-0.385,18,-0.39,-1.3,0.10557
L antigen family member 3,Q14657,0.501,0.328,0.302,0.406,-0.059,-0.312,0.342,0.382,0.515,-0.004,0.595,0.262,0.380,0.924,0.645,-0.016,0.527,0.235,18,0.14,1.1,0.37128
"L-2-hydroxyglutarate dehydrogenase, mitochondrial",Q9H9P8,0.177,-0.036,-0.102,,,,-0.283,0.168,-0.084,0.163,0.177,-0.115,,,,0.155,0.115,0.195,12,0.14,1.1,0.13004
Lactotransferrin,P02788,,,,-1.733,-1.380,-0.823,0.835,1.738,-4.873,,,,-2.511,0.694,0.733,-0.096,-0.680,-1.943,12,-0.28,-1.2,0.71787
Lactoylglutathione lyase,Q04760,-0.316,1.596,-2.461,-0.743,-0.636,-1.207,-3.525,0.130,-1.040,0.945,0.732,-3.038,1.264,-1.808,0.586,1.259,-0.548,1.180,18,0.85,1.8,0.18856
Lambda-crystallin homolog,Q9Y2S2,0.376,-0.023,0.509,0.035,0.421,0.049,,,,-0.009,0.058,-0.606,0.168,-0.218,-0.150,,,,12,-0.35,-1.3,0.03628
"Lamina-associated polypeptide 2, isoform alpha",P42166,0.523,-0.274,-1.455,0.612,0.187,-0.146,0.578,0.087,-0.298,0.935,0.763,0.922,0.306,0.320,0.133,0.632,0.446,-0.032,18,0.44,1.4,0.05160
"Lamina-associated polypeptide 2, isoforms beta/gamma",P42167,1.637,0.893,-0.383,1.542,1.170,-0.039,1.963,-0.123,0.992,0.441,0.509,2.089,0.386,1.582,0.546,0.077,1.285,0.992,18,-0.03,-1.0,0.93801
Lamin-B receptor,Q14739,,,,-0.097,-0.190,0.062,0.974,0.363,-0.155,,,,-0.190,0.128,-0.231,-0.527,-0.063,-1.111,12,-0.50,-1.4,0.08350
Lamin-B1,P20700,0.132,-0.798,-2.596,0.601,-0.714,-1.115,1.074,-0.534,-1.064,-0.453,-0.786,0.624,-2.267,-0.011,-0.370,-1.596,0.091,-1.850,18,-0.24,-1.2,0.71787
Lamin-B2,Q03252,0.069,-0.780,-0.063,-0.175,-0.520,-1.037,1.367,-0.918,0.185,-1.338,-0.927,0.893,-0.772,1.154,-0.798,-2.446,0.490,-0.825,18,-0.10,-1.1,0.51989
LanC-like protein 1,O43813,0.077,0.038,-0.334,-0.264,-0.409,-1.019,-0.585,-0.066,-0.532,-0.493,0.170,-1.769,0.401,-1.102,0.082,-0.279,-0.398,-0.452,18,0.00,1.0,0.74654
LanC-like protein 2,Q9NS86,-0.111,0.300,-0.817,0.267,-0.025,0.028,0.083,-0.156,-0.089,0.446,0.620,-0.443,0.095,-0.410,0.041,0.083,-0.036,0.110,18,0.12,1.1,0.48227
Lanosterol synthase,P48449,-0.960,-0.441,-0.322,-0.664,-0.054,-0.479,-0.089,-0.222,-0.195,0.329,-0.135,0.050,-0.759,0.862,-0.385,-0.408,0.031,-0.594,18,0.33,1.3,0.18390
La-related protein 1,Q6PKG0,,,,0.213,-0.133,0.094,,,,,,,0.172,-0.240,0.000,,,,6,-0.08,-1.1,0.63572
La-related protein 4B,Q92615,0.225,0.638,1.130,,,,,,,0.837,0.784,1.103,,,,,,,6,0.20,1.2,0.43233
La-related protein 7,Q4G0J3,,,,0.160,0.066,-0.026,,,,,,,0.160,0.094,0.172,,,,6,0.07,1.1,0.27045
Large proline-rich protein BAG6,P46379,0.082,0.455,0.269,0.036,-0.004,0.448,-1.330,-0.982,-0.611,0.149,0.189,-0.821,0.434,-0.588,-0.004,1.370,-0.039,1.914,18,0.62,1.5,0.20949
Lariat debranching enzyme,Q9UK59,0.022,-0.031,-0.164,0.310,-0.182,-0.154,,,,-0.071,0.315,-0.017,0.071,-0.221,0.230,,,,12,0.09,1.1,0.46589
Latent-transforming growth factor beta-binding protein 1,Q14766,,,,-0.173,-0.411,1.050,,,,,,,-0.624,-0.849,-1.035,,,,6,-1.13,-2.2,0.10150
LDLR chaperone MESD,Q14696,0.371,-0.147,0.810,0.136,0.124,-0.168,0.157,0.502,0.674,-0.624,0.172,-0.120,0.030,0.216,0.124,-0.574,0.462,-0.759,18,-0.37,-1.3,0.04825
LEM domain-containing protein 2,Q8NC56,-0.111,0.035,-0.044,-0.262,0.045,-0.115,,,,-0.151,-0.004,0.115,-0.141,0.217,0.097,,,,12,0.10,1.1,0.23232
"LETM1 and EF-hand domain-containing protein 1, mitochondrial",O95202,-0.787,-0.734,-0.681,-0.386,0.345,-2.232,0.176,-1.207,-0.514,0.183,-1.516,1.392,-0.187,0.384,-0.067,-0.766,0.297,-0.129,18,0.66,1.6,0.10920
Leucine zipper transcription factor-like protein 1,Q9NQ48,0.492,0.054,0.054,,,,,,,0.318,0.346,0.147,,,,,,,6,0.06,1.0,0.67934
"Leucine-rich PPR motif-containing protein, mitochondrial",P42704,-0.213,-1.968,1.089,-0.616,1.098,0.420,1.095,-0.100,0.059,0.877,-0.970,1.475,-1.107,0.194,0.301,-0.671,-0.206,0.113,18,-0.12,-1.1,0.82959
Leucine-rich repeat and calponin homology domain-containing protein 3,Q96II8,-0.186,0.028,0.320,0.125,-0.009,0.258,-0.206,0.180,-0.019,0.106,-0.026,0.121,0.099,-0.049,-0.061,0.141,0.021,0.247,18,0.00,1.0,0.86826
Leucine-rich repeat and calponin homology domain-containing protein 4,O75427,,,,-0.610,-0.199,1.463,0.504,0.663,0.118,,,,0.546,1.077,0.054,0.464,-0.160,0.743,12,0.03,1.0,0.71549
Leucine-rich repeat and WD repeat-containing protein 1,Q9UFC0,,,,0.147,-0.013,-0.240,,,,,,,-0.039,0.160,0.000,,,,6,0.07,1.0,0.58629
Leucine-rich repeat flightless-interacting protein 1,Q32MZ4,-0.664,0.358,-0.506,-0.309,-0.428,-0.015,-0.235,0.349,0.070,0.239,0.212,-2.020,-0.388,-0.175,-1.065,0.017,0.030,-2.612,18,-0.27,-1.2,0.20337
Leucine-rich repeat protein SHOC-2,Q9UQ13,,,,0.040,-0.969,-0.213,,,,,,,-0.610,-0.452,-0.546,,,,6,-0.21,-1.2,0.63821
Leucine-rich repeat-containing protein 16A,Q5VZK9,0.574,0.561,0.229,-0.088,-0.485,1.294,0.112,0.922,0.284,0.707,0.508,0.296,1.480,-0.167,0.842,1.546,0.218,-0.207,18,0.24,1.2,0.47488
Leucine-rich repeat-containing protein 16C,Q6F5E8,-0.254,-0.123,0.104,-0.037,0.175,1.119,,,,-0.069,0.184,-0.374,-1.605,-0.251,0.069,,,,12,-0.48,-1.4,0.16096
Leucine-rich repeat-containing protein 47,Q8N1G4,-0.092,0.374,0.240,-0.368,-0.701,-0.289,-0.803,-0.298,0.048,-0.131,0.082,-1.554,0.455,-0.049,-0.129,0.207,-0.643,0.406,18,0.11,1.1,0.81295
Leucine-rich repeat-containing protein 59,Q96AG4,-0.247,0.165,0.551,-0.217,0.367,-1.373,0.332,-0.705,0.264,0.989,-1.428,0.803,-0.124,1.456,0.725,0.093,0.398,0.451,18,0.54,1.5,0.19050
"Leucine--tRNA ligase, cytoplasmic",Q9P2J5,-0.238,-0.517,1.475,-0.286,-0.048,-0.008,-0.578,-0.231,0.008,0.532,-0.279,-2.641,-0.499,-0.858,0.032,0.127,-0.085,-0.908,18,-0.40,-1.3,0.22891
Leucyl-cystinyl aminopeptidase,Q9UIQ6,-1.029,0.059,0.909,0.114,0.101,-0.509,0.903,-0.506,0.624,0.458,-0.979,0.922,0.260,0.101,0.274,-0.359,0.052,-0.374,18,-0.08,-1.1,0.90641
"Leucyl-tRNA synthetase, cytoplasmic",Q9P2J5,-0.238,-0.517,1.475,-0.286,-0.048,-0.008,-0.578,-0.231,0.008,0.532,-0.279,-2.641,-0.499,-0.858,0.032,0.127,-0.085,-0.908,18,-0.40,-1.3,0.22891
Leukocyte antigen CD37,P11049,,,,-0.076,0.163,0.005,0.088,0.075,0.368,,,,0.230,0.244,0.310,-0.111,0.368,0.088,12,0.09,1.1,0.39229
Leukocyte elastase inhibitor,P30740,-0.361,0.435,-0.163,-0.285,-0.418,-0.126,-2.195,-0.561,0.567,0.289,-0.070,-2.344,-0.749,-0.896,0.260,0.222,-0.655,0.408,18,-0.01,-1.0,0.90560
Leukocyte immunoglobulin-like receptor subfamily B member 1,Q8NHL6,-0.248,0.164,-0.048,-0.895,-0.709,0.740,,,,-0.913,0.164,0.124,-0.284,0.022,0.367,,,,12,0.03,1.0,0.80106
Leukocyte immunoglobulin-like receptor subfamily B member 2,Q8N423,,,,,,,-0.039,-0.371,-0.969,,,,,,,-0.744,-0.371,-0.492,6,-0.12,-1.1,0.80809
Leukocyte surface antigen CD47,Q08722,0.505,0.027,-0.186,,,,,,,0.172,0.000,0.930,,,,,,,6,0.28,1.2,0.51243
Leukosialin,P16150,,,,0.060,0.790,0.007,0.738,0.711,0.300,,,,1.402,0.937,0.459,0.644,0.804,0.459,12,0.35,1.3,0.12036
Leukotriene A-4 hydrolase,P09960,0.778,0.512,-4.071,1.173,-1.577,-0.728,-0.556,-2.151,1.131,-0.365,0.592,-1.557,-0.594,-1.790,-0.594,-0.131,-2.339,-0.064,18,-0.59,-1.5,0.82398
Leupaxin,O60711,-0.218,0.048,0.048,0.096,-0.157,0.362,-1.006,0.427,-0.899,-0.324,-0.205,-0.232,0.190,-0.396,-0.980,-0.076,0.163,0.507,18,-0.02,-1.0,0.97829
Leydig cell tumor 10 kDa protein homolog,Q9UNZ5,-0.151,-0.137,-0.244,,,,0.124,-0.129,-0.195,-0.124,-0.111,-0.057,,,,-0.182,0.163,-0.606,12,-0.02,-1.0,0.79300
L-fucose kinase,Q8N0W3,,,,0.917,0.904,1.276,,,,,,,1.063,1.249,0.771,,,,6,0.00,1.0,0.98149
LIM and senescent cell antigen-like-containing domain protein 1,P48059,-0.279,-0.105,-0.663,-0.409,-0.130,0.283,-0.494,0.090,-1.227,-0.251,-0.052,-0.225,-0.382,-0.423,-0.515,-0.429,0.222,0.262,18,0.10,1.1,0.48340
LIM and SH3 domain protein 1,Q14847,-0.147,0.054,0.279,-1.243,-0.845,-0.008,-3.052,0.699,0.022,-0.292,0.492,-2.800,0.829,-0.301,-0.845,-0.005,-0.485,0.407,18,0.12,1.1,0.79268
LIM domain only protein 7,Q8WWI1,-0.236,-0.182,-0.210,-0.764,0.033,-1.099,-0.196,0.163,-0.487,0.137,0.044,-0.289,0.949,-0.591,0.737,-0.276,-0.461,0.522,18,0.47,1.4,0.08224
LIM domain-containing protein 1,Q9UGP4,-0.651,0.664,0.492,,,,,,,-0.213,0.054,-0.066,,,,,,,6,-0.35,-1.3,0.59285
LIM domain-containing protein 2,Q9BT23,,,,0.545,0.571,0.651,,,,,,,0.492,0.385,0.518,,,,6,-0.12,-1.1,0.07379
"Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial",P11182,0.414,-0.795,-1.552,-0.884,0.458,-0.578,0.655,-1.429,0.324,0.055,0.188,1.278,-0.644,0.897,0.339,-0.021,0.376,-0.316,18,0.51,1.4,0.09341
Lipoma-preferred partner,Q93052,-0.184,-0.423,0.998,,,,-0.666,0.157,0.582,-0.914,0.640,0.015,,,,-0.229,0.224,0.064,12,-0.16,-1.1,0.74617
Lipopolysaccharide-binding protein,P18428,,,,0.404,0.270,-0.327,0.686,-0.455,-1.743,,,,-0.407,-1.298,0.682,1.045,0.194,-0.404,12,0.17,1.1,0.74993
Lipopolysaccharide-responsive and beige-like anchor protein,P50851,0.126,0.192,0.192,-0.231,0.181,1.018,0.053,0.424,-0.094,0.046,-0.008,-0.300,0.420,-1.705,0.566,-0.027,-0.054,-0.054,18,-0.27,-1.2,0.19900
Liver carboxylesterase 1,P23141,,,,1.036,0.664,2.990,,,,,,,-0.385,0.225,-0.199,,,,6,-2.04,-4.1,0.08630
L-lactate dehydrogenase A chain,P00338,-0.231,0.301,-0.005,0.169,-0.934,0.022,-2.534,0.103,-0.667,0.114,-0.005,-3.788,-2.091,-0.868,0.089,0.860,-0.880,-0.496,18,-0.11,-1.1,0.51842
L-lactate dehydrogenase B chain,P07195,-0.422,0.150,-0.888,0.777,-2.653,0.790,-2.228,0.242,-1.552,-0.102,0.535,-4.261,-1.682,-1.907,-0.313,0.588,-1.072,-0.966,18,-0.29,-1.2,0.57365
"Lon protease homolog, mitochondrial",P36776,-0.328,-0.554,-0.129,-0.019,0.633,-0.363,0.719,-1.101,0.241,-0.674,-1.179,1.173,-1.905,0.181,-0.218,-1.075,0.120,-0.595,18,-0.21,-1.2,0.32408
Long-chain fatty acid transport protein 3,Q5K4L6,0.094,-0.292,-0.492,,,,,,,-0.333,-0.425,0.372,,,,,,,6,0.13,1.1,0.75578
Long-chain-fatty-acid--CoA ligase 1,P33121,-0.366,0.046,-0.499,-0.430,-0.058,0.021,,,,-0.127,-0.419,0.192,0.154,-0.642,-0.219,,,,12,0.05,1.0,0.82543
Long-chain-fatty-acid--CoA ligase 3,O95573,0.035,-0.165,0.580,0.037,-0.096,0.210,0.141,0.208,0.088,0.035,-0.311,0.155,0.009,-0.016,0.184,-0.031,0.048,-0.125,18,-0.13,-1.1,0.18315
Low affinity immunoglobulin gamma Fc region receptor II-b,P31994,-0.336,0.129,1.072,0.056,-0.768,0.268,0.213,-0.092,-0.226,-0.176,-0.616,-0.295,-0.010,0.216,0.016,-0.066,-0.078,0.027,18,-0.21,-1.2,0.44861
Low molecular weight phosphotyrosine protein phosphatase,P24666,0.651,0.477,0.371,0.951,0.194,0.540,-1.682,1.069,0.896,0.558,0.584,0.318,0.885,0.168,0.221,0.843,0.803,1.029,18,0.09,1.1,0.47425
Luc7-like protein 3,O95232,-0.567,-0.634,-0.567,-0.717,-1.236,-1.477,-0.389,-0.986,-1.145,-0.567,-0.661,-0.461,-0.014,-0.120,0.106,-0.521,0.223,-0.640,18,0.56,1.5,0.00404
Lupus La protein,P05455,0.083,0.309,0.336,0.069,-0.036,-0.979,-0.339,0.245,-1.098,0.548,0.868,-1.964,0.628,-0.024,0.521,0.152,0.896,0.325,18,0.46,1.4,0.29117
L-xylulose reductase,Q7Z4W1,-0.246,-0.659,0.325,0.444,0.843,-0.420,0.919,-1.980,-0.051,-1.431,-1.443,0.550,-3.182,-0.566,-0.020,-0.928,-0.663,-0.198,18,-0.70,-1.6,0.11254
Lymphocyte antigen 75,O60449,-0.983,-0.676,0.174,-0.371,-0.424,-0.358,0.557,0.091,0.091,-0.039,-0.796,0.492,-0.078,-0.305,-0.292,-1.625,-0.333,-0.611,18,-0.16,-1.1,0.46778
Lymphocyte transmembrane adapter 1,Q8IWV1,,,,-0.916,0.066,-0.730,,,,,,,0.492,0.000,0.492,,,,6,0.81,1.7,0.06740
Lymphocyte-specific protein 1,P33241,0.309,0.004,-0.568,-0.615,-0.203,0.008,-0.888,0.639,-0.902,-0.608,0.535,-2.345,0.075,-0.032,-1.906,-0.357,-0.158,-1.007,18,-0.25,-1.2,0.28949
Lymphoid enhancer-binding factor 1,Q9UJU2,,,,-0.237,0.056,-0.503,-0.521,-0.400,-0.149,,,,0.148,0.002,-0.251,0.237,0.104,-0.055,12,0.32,1.2,0.01905
Lymphoid-restricted membrane protein,Q12912,-0.099,-1.466,-0.311,-0.955,0.612,-1.859,-0.447,-0.618,0.085,0.340,-1.174,0.140,-0.066,0.240,-0.544,-2.054,0.417,0.045,18,0.26,1.2,0.48888
LYR motif-containing protein 5,Q6IPR1,,,,0.361,0.095,0.614,0.543,0.875,-0.055,,,,0.069,0.375,0.281,0.011,0.649,-0.228,12,-0.22,-1.2,0.28601
LYR motif-containing protein 7,Q5U5X0,,,,,,,0.492,0.040,0.054,,,,,,,-0.624,0.094,-0.358,6,-0.48,-1.4,0.12806
Lys-63-specific deubiquitinase BRCC36,P46736,-0.235,0.018,-0.035,,,,-0.774,0.208,0.301,-0.274,-0.115,-0.195,,,,0.128,-0.071,-0.628,12,-0.13,-1.1,0.58455
Lysine-specific demethylase 2A,Q9Y2K7,,,,,,,0.040,-0.253,-0.106,,,,,,,-0.080,-0.240,-0.253,6,-0.09,-1.1,0.45125
Lysine-specific demethylase 3A,Q9Y4C1,,,,,,,2.352,0.850,2.046,,,,,,,2.153,1.435,2.299,6,0.13,1.1,0.70891
Lysine-specific demethylase 3B,Q7LBC6,,,,-0.095,-0.480,-0.082,0.335,-0.821,0.175,,,,-0.335,-0.043,-0.294,0.175,-0.622,-0.570,12,-0.14,-1.1,0.58791
Lysine-specific demethylase 4B,O94953,0.524,-0.048,1.082,0.691,0.360,0.479,-0.152,0.712,1.004,0.563,0.709,0.377,0.558,0.346,0.771,1.310,-0.445,0.778,18,0.05,1.0,0.86886
Lysine-specific demethylase 5A,P29375,,,,-0.306,-0.398,-0.385,,,,,,,-0.637,-0.385,-0.678,,,,6,-0.20,-1.1,0.10135
Lysine-specific demethylase PHF2,O75151,,,,0.040,0.465,0.225,,,,,,,0.066,0.160,-0.106,,,,6,-0.21,-1.2,0.23485
Lysine-specific histone demethylase 1A,O60341,-0.339,-0.218,-0.432,-0.060,-0.392,-0.711,0.054,-0.160,0.359,0.021,-0.259,-0.100,-0.180,0.020,-0.006,0.411,-1.049,-0.943,18,0.01,1.0,0.91305
Lysine--tRNA ligase,Q15046,0.451,0.319,0.238,0.412,0.371,-0.226,0.360,-0.132,0.201,-0.067,0.438,-0.067,0.119,0.198,0.438,0.321,0.360,0.201,18,-0.01,-1.0,0.95559
LysM and putative peptidoglycan-binding domain-containing protein 2,Q8IV50,,,,-0.186,0.027,-0.160,,,,,,,0.213,-0.610,-0.213,,,,6,-0.06,-1.0,0.71442
Lysophosphatidylcholine acyltransferase 1,Q8NF37,,,,,,,0.717,0.225,-0.092,,,,,,,-0.265,0.332,-0.186,6,-0.34,-1.3,0.34348
Lysophospholipase-like protein 1,Q5VWZ2,,,,0.437,-0.505,-0.107,0.333,-0.132,-0.318,,,,-0.626,-0.253,0.544,0.121,-0.596,0.080,12,-0.05,-1.0,0.76629
Lysosomal acid lipase/cholesteryl ester hydrolase,P38571,,,,-0.531,0.213,-0.092,,,,,,,-0.160,0.452,-0.610,,,,6,0.07,1.0,0.93878
